gene	family	description
IGHD1-26	IG	immunoglobulin heavy diversity 1-26
IGHD1OR15-1A	IG	immunoglobulin heavy diversity 1/OR15-1A
IGHD1OR15-1B	IG	immunoglobulin heavy diversity 1/OR15-1B
IGHD2-2	IG	immunoglobulin heavy diversity 2-2
IGHD2-8	IG	immunoglobulin heavy diversity 2-8
IGHD2-15	IG	immunoglobulin heavy diversity 2-15
IGHD2-21	IG	immunoglobulin heavy diversity 2-21
IGHD2OR15-2A	IG	immunoglobulin heavy diversity 2/OR15-2A
IGHD2OR15-2B	IG	immunoglobulin heavy diversity 2/OR15-2B
IGHD3-3	IG	immunoglobulin heavy diversity 3-3
IGHD3-9	IG	immunoglobulin heavy diversity 3-9
IGHD3-10	IG	immunoglobulin heavy diversity 3-10
IGHD3-16	IG	immunoglobulin heavy diversity 3-16
IGHD3-22	IG	immunoglobulin heavy diversity 3-22
IGHD3OR15-3A	IG	immunoglobulin heavy diversity 3/OR15-3A
IGHD3OR15-3B	IG	immunoglobulin heavy diversity 3/OR15-3B
IGHD4-4	IG	immunoglobulin heavy diversity 4-4
IGHD4-11	IG	immunoglobulin heavy diversity 4-11
IGHD4-17	IG	immunoglobulin heavy diversity 4-17
IGHD4-23	IG	immunoglobulin heavy diversity 4-23
IGHD4OR15-4A	IG	immunoglobulin heavy diversity 4/OR15-4A
IGHD4OR15-4B	IG	immunoglobulin heavy diversity 4/OR15-4B
IGHD5-5	IG	immunoglobulin heavy diversity 5-5
IGHD5-12	IG	immunoglobulin heavy diversity 5-12
IGHD5-18	IG	immunoglobulin heavy diversity 5-18
IGHD5-24	IG	immunoglobulin heavy diversity 5-24
IGHD5OR15-5A	IG	immunoglobulin heavy diversity 5/OR15-5A
IGHD5OR15-5B	IG	immunoglobulin heavy diversity 5/OR15-5B
IGHD6-6	IG	immunoglobulin heavy diversity 6-6
IGHD6-13	IG	immunoglobulin heavy diversity 6-13
IGHD6-19	IG	immunoglobulin heavy diversity 6-19
IGHD6-25	IG	immunoglobulin heavy diversity 6-25
IGHD7-27	IG	immunoglobulin heavy diversity 7-27
IGHD@	IG	immunoglobulin heavy diversity group
IGHDOR15@	IG	immunoglobulin heavy diversity orphans on chromosome 15
IGHE	IG	immunoglobulin heavy constant epsilon
IGHEP1	IG	immunoglobulin heavy constant epsilon P1
IGHEP2	IG	immunoglobulin heavy constant epsilon P2
IGHG1	IG	immunoglobulin heavy constant gamma 1 (G1m marker)
IGHG2	IG	immunoglobulin heavy constant gamma 2 (G2m marker)
IGHG3	IG	immunoglobulin heavy constant gamma 3 (G3m marker)
IGHG4	IG	immunoglobulin heavy constant gamma 4 (G4m marker)
IGHGP	IG	immunoglobulin heavy constant gamma P
IGHJ1	IG	immunoglobulin heavy joining 1
IGHJ1P	IG	immunoglobulin heavy joining 1P
IGHJ2	IG	immunoglobulin heavy joining 2
IGHJ2P	IG	immunoglobulin heavy joining 2P
IGHJ3	IG	immunoglobulin heavy joining 3
IGHJ3P	IG	immunoglobulin heavy joining 3P
IGHJ4	IG	immunoglobulin heavy joining 4
IGHJ5	IG	immunoglobulin heavy joining 5
IGHJ6	IG	immunoglobulin heavy joining 6
IGHJ@	IG	immunoglobulin heavy joining group
IGHM	IG	immunoglobulin heavy constant mu
IGHMBP2	IG	immunoglobulin mu binding protein 2
IGHR	IG	immunoglobulin heavy chain regulator
IGHV1-2	IG	immunoglobulin heavy variable 1-2
IGHV1-3	IG	immunoglobulin heavy variable 1-3
IGHV1-8	IG	immunoglobulin heavy variable 1-8
IGHV1-12	IG	immunoglobulin heavy variable 1-12
IGHV1-14	IG	immunoglobulin heavy variable 1-14
IGHV1-17	IG	immunoglobulin heavy variable 1-17
IGHV1-18	IG	immunoglobulin heavy variable 1-18
IGHV1-24	IG	immunoglobulin heavy variable 1-24
IGHV1-45	IG	immunoglobulin heavy variable 1-45
IGHV1-46	IG	immunoglobulin heavy variable 1-46
IGHV1-58	IG	immunoglobulin heavy variable 1-58
IGHV1-67	IG	immunoglobulin heavy variable 1-67
IGHV1-68	IG	immunoglobulin heavy variable 1-68
IGHV1-69	IG	immunoglobulin heavy variable 1-69
IGHV1-C	IG	immunoglobulin heavy variable 1-C (provisional)
IGHV1-F	IG	immunoglobulin heavy variable 1-F (provisional)
IGHV1OR15-1	IG	immunoglobulin heavy variable 1/OR15-1
IGHV1OR15-2	IG	immunoglobulin heavy variable 1/OR15-2
IGHV1OR15-3	IG	immunoglobulin heavy variable 1/OR15-3
IGHV1OR15-4	IG	immunoglobulin heavy variable 1/OR15-4
IGHV1OR15-5	IG	immunoglobulin heavy variable 1/OR15-5
IGHV1OR15-6	IG	immunoglobulin heavy variable 1/OR15-6
IGHV1OR15-9	IG	immunoglobulin heavy variable 1/OR15-9
IGHV1OR16-1	IG	immunoglobulin heavy variable 1/OR16-1
IGHV1OR16-2	IG	immunoglobulin heavy variable 1/OR16-2
IGHV1OR16-3	IG	immunoglobulin heavy variable 1/OR16-3
IGHV1OR16-4	IG	immunoglobulin heavy variable 1/OR16-4
IGHV2-5	IG	immunoglobulin heavy variable 2-5
IGHV2-10	IG	immunoglobulin heavy variable 2-10
IGHV2-26	IG	immunoglobulin heavy variable 2-26
IGHV2-70	IG	immunoglobulin heavy variable 2-70
IGHV2OR16-5	IG	immunoglobulin heavy variable 2/OR16-5
IGHV3-6	IG	immunoglobulin heavy variable 3-6
IGHV3-7	IG	immunoglobulin heavy variable 3-7
IGHV3-9	IG	immunoglobulin heavy variable 3-9
IGHV3-11	IG	immunoglobulin heavy variable 3-11
IGHV3-13	IG	immunoglobulin heavy variable 3-13
IGHV3-15	IG	immunoglobulin heavy variable 3-15
IGHV3-16	IG	immunoglobulin heavy variable 3-16
IGHV3-19	IG	immunoglobulin heavy variable 3-19
IGHV3-20	IG	immunoglobulin heavy variable 3-20
IGHV3-21	IG	immunoglobulin heavy variable 3-21
IGHV3-22	IG	immunoglobulin heavy variable 3-22
IGHV3-23	IG	immunoglobulin heavy variable 3-23
IGHV3-25	IG	immunoglobulin heavy variable 3-25
IGHV3-29	IG	immunoglobulin heavy variable 3-29
IGHV3-30	IG	immunoglobulin heavy variable 3-30
IGHV3-30-2	IG	immunoglobulin heavy variable 3-30-2
IGHV3-30-3	IG	immunoglobulin heavy variable 3-30-3
IGHV3-30-5	IG	immunoglobulin heavy variable 3-30-5
IGHV3-32	IG	immunoglobulin heavy variable 3-32
IGHV3-33	IG	immunoglobulin heavy variable 3-33
IGHV3-33-2	IG	immunoglobulin heavy variable 3-33-2
IGHV3-35	IG	immunoglobulin heavy variable 3-35
IGHV3-36	IG	immunoglobulin heavy variable 3-36
IGHV3-37	IG	immunoglobulin heavy variable 3-37
IGHV3-38	IG	immunoglobulin heavy variable 3-38
IGHV3-41	IG	immunoglobulin heavy variable 3-41
IGHV3-42	IG	immunoglobulin heavy variable 3-42
IGHV3-43	IG	immunoglobulin heavy variable 3-43
IGHV3-47	IG	immunoglobulin heavy variable 3-47
IGHV3-48	IG	immunoglobulin heavy variable 3-48
IGHV3-49	IG	immunoglobulin heavy variable 3-49
IGHV3-50	IG	immunoglobulin heavy variable 3-50
IGHV3-52	IG	immunoglobulin heavy variable 3-52
IGHV3-53	IG	immunoglobulin heavy variable 3-53
IGHV3-54	IG	immunoglobulin heavy variable 3-54
IGHV3-57	IG	immunoglobulin heavy variable 3-57
IGHV3-60	IG	immunoglobulin heavy variable 3-60
IGHV3-62	IG	immunoglobulin heavy variable 3-62
IGHV3-63	IG	immunoglobulin heavy variable 3-63
IGHV3-64	IG	immunoglobulin heavy variable 3-64
IGHV3-65	IG	immunoglobulin heavy variable 3-65
IGHV3-66	IG	immunoglobulin heavy variable 3-66
IGHV3-71	IG	immunoglobulin heavy variable 3-71
IGHV3-72	IG	immunoglobulin heavy variable 3-72
IGHV3-73	IG	immunoglobulin heavy variable 3-73
IGHV3-74	IG	immunoglobulin heavy variable 3-74
IGHV3-75	IG	immunoglobulin heavy variable 3-75
IGHV3-76	IG	immunoglobulin heavy variable 3-76
IGHV3-79	IG	immunoglobulin heavy variable 3-79
IGHV3-D	IG	immunoglobulin heavy variable 3-D (provisional)
IGHV3-G	IG	immunoglobulin heavy variable 3-G (provisional)
IGHV3-H	IG	immunoglobulin heavy variable 3-H (provisional)
IGHV3OR15-7	IG	immunoglobulin heavy variable 3/OR15-7
IGHV3OR16-6	IG	immunoglobulin heavy variable 3/OR16-6
IGHV3OR16-7	IG	immunoglobulin heavy variable 3/OR16-7
IGHV3OR16-8	IG	immunoglobulin heavy variable 3/OR16-8
IGHV3OR16-9	IG	immunoglobulin heavy variable 3/OR16-9
IGHV3OR16-10	IG	immunoglobulin heavy variable 3/OR16-10
IGHV3OR16-11	IG	immunoglobulin heavy variable 3/OR16-11
IGHV3OR16-12	IG	immunoglobulin heavy variable 3/OR16-12
IGHV3OR16-13	IG	immunoglobulin heavy variable 3/OR16-13
IGHV3OR16-14	IG	immunoglobulin heavy variable 3/OR16-14
IGHV3OR16-15	IG	immunoglobulin heavy variable 3/OR16-15
IGHV3OR16-16	IG	immunoglobulin heavy variable 3/OR16-16
IGHV4-4	IG	immunoglobulin heavy variable 4-4
IGHV4-28	IG	immunoglobulin heavy variable 4-28
IGHV4-30-1	IG	immunoglobulin heavy variable 4-30-1
IGHV4-30-2	IG	immunoglobulin heavy variable 4-30-2
IGHV4-30-4	IG	immunoglobulin heavy variable 4-30-4
IGHV4-31	IG	immunoglobulin heavy variable 4-31
IGHV4-34	IG	immunoglobulin heavy variable 4-34
IGHV4-39	IG	immunoglobulin heavy variable 4-39
IGHV4-55	IG	immunoglobulin heavy variable 4-55
IGHV4-59	IG	immunoglobulin heavy variable 4-59
IGHV4-61	IG	immunoglobulin heavy variable 4-61
IGHV4-80	IG	immunoglobulin heavy variable 4-80
IGHV4-B	IG	immunoglobulin heavy variable 4-B (provisional)
IGHV4OR15-8	IG	immunoglobulin heavy variable 4/OR15-8
IGHV5-51	IG	immunoglobulin heavy variable 5-51
IGHV5-78	IG	immunoglobulin heavy variable 5-78
IGHV5-A	IG	immunoglobulin heavy variable 5-A (provisional)
IGHV6-1	IG	immunoglobulin heavy variable 6-1
IGHV7-4-1	IG	immunoglobulin heavy variable 7-4-1
IGHV7-27	IG	immunoglobulin heavy variable 7-27
IGHV7-34-1	IG	immunoglobulin heavy variable 7-34-1
IGHV7-40	IG	immunoglobulin heavy variable 7-40
IGHV7-56	IG	immunoglobulin heavy variable 7-56
IGHV7-81	IG	immunoglobulin heavy variable 7-81
IGHV@	IG	immunoglobulin heavy variable group
IGHVII-1-1	IG	immunoglobulin heavy variable (II)-1-1
IGHVII-15-1	IG	immunoglobulin heavy variable (II)-15-1
IGHVII-20-1	IG	immunoglobulin heavy variable (II)-20-1
IGHVII-22-1	IG	immunoglobulin heavy variable (II)-22-1
IGHVII-26-2	IG	immunoglobulin heavy variable (II)-26-2
IGHVII-28-1	IG	immunoglobulin heavy variable (II)-28-1
IGHVII-30-1	IG	immunoglobulin heavy variable (II)-30-1
IGHVII-31-1	IG	immunoglobulin heavy variable (II)-31-1
IGHVII-33-1	IG	immunoglobulin heavy variable (II)-33-1
IGHVII-40-1	IG	immunoglobulin heavy variable (II)-40-1
IGHVII-43-1	IG	immunoglobulin heavy variable (II)-43-1
IGHVII-44-2	IG	immunoglobulin heavy variable (II)-44-2
IGHVII-46-1	IG	immunoglobulin heavy variable (II)-46-1
IGHVII-49-1	IG	immunoglobulin heavy variable (II)-49-1
IGHVII-51-2	IG	immunoglobulin heavy variable (II)-51-2
IGHVII-53-1	IG	immunoglobulin heavy variable (II)-53-1
IGHVII-60-1	IG	immunoglobulin heavy variable (II)-60-1
IGHVII-62-1	IG	immunoglobulin heavy variable (II)-62-1
IGHVII-65-1	IG	immunoglobulin heavy variable (II)-65-1
IGHVII-67-1	IG	immunoglobulin heavy variable (II)-67-1
IGHVII-74-1	IG	immunoglobulin heavy variable (II)-74-1
IGHVII-78-1	IG	immunoglobulin heavy variable (II)-78-1
IGHVIII-2-1	IG	immunoglobulin heavy variable (III)-2-1
IGHVIII-5-1	IG	immunoglobulin heavy variable (III)-5-1
IGHVIII-5-2	IG	immunoglobulin heavy variable (III)-5-2
IGHVIII-11-1	IG	immunoglobulin heavy variable (III)-11-1
IGHVIII-13-1	IG	immunoglobulin heavy variable (III)-13-1
IGHVIII-16-1	IG	immunoglobulin heavy variable (III)-16-1
IGHVIII-22-2	IG	immunoglobulin heavy variable (III)-22-2
IGHVIII-25-1	IG	immunoglobulin heavy variable (III)-25-1
IGHVIII-26-1	IG	immunoglobulin heavy variable (III)-26-1
IGHVIII-38-1	IG	immunoglobulin heavy variable (III)-38-1
IGHVIII-44	IG	immunoglobulin heavy variable (III)-44
IGHVIII-47-1	IG	immunoglobulin heavy variable (III)-47-1
IGHVIII-51-1	IG	immunoglobulin heavy variable (III)-51-1
IGHVIII-67-2	IG	immunoglobulin heavy variable (III)-67-2
IGHVIII-67-3	IG	immunoglobulin heavy variable (III)-67-3
IGHVIII-67-4	IG	immunoglobulin heavy variable (III)-67-4
IGHVIII-76-1	IG	immunoglobulin heavy variable (III)-76-1
IGHVIII-82	IG	immunoglobulin heavy variable (III)-82
IGHVIV-44-1	IG	immunoglobulin heavy variable (IV)-44-1
IGHVOR15@	IG	immunoglobulin heavy variable orphans on chromosome 15
IGHVOR16@	IG	immunoglobulin heavy variable orphans on chromosome 16
IGJ	IG	"immunoglobulin J polypeptide, linker protein for immunoglobulin alpha and mu polypeptides"
IGJP1	IG	immunoglobulin J polypeptide pseudogene 1
IGK@	IG	immunoglobulin kappa locus
IGKC	IG	immunoglobulin kappa constant
IGKDEL	IG	immunoglobulin kappa deleting element or like
IGKJ1	IG	immunoglobulin kappa joining 1
IGKJ2	IG	immunoglobulin kappa joining 2
IGKJ3	IG	immunoglobulin kappa joining 3
IGKJ4	IG	immunoglobulin kappa joining 4
IGKJ5	IG	immunoglobulin kappa joining 5
IGKJ@	IG	immunoglobulin kappa joining group
IGKV1-5	IG	immunoglobulin kappa variable 1-5
IGKV1-6	IG	immunoglobulin kappa variable 1-6
IGKV1-8	IG	immunoglobulin kappa variable 1-8
IGKV1-9	IG	immunoglobulin kappa variable 1-9
IGKV1-12	IG	immunoglobulin kappa variable 1-12
IGKV1-13	IG	immunoglobulin kappa variable 1-13
IGKV1-16	IG	immunoglobulin kappa variable 1-16
IGKV1-17	IG	immunoglobulin kappa variable 1-17
IGKV1-22	IG	immunoglobulin kappa variable 1-22
IGKV1-27	IG	immunoglobulin kappa variable 1-27
IGKV1-32	IG	immunoglobulin kappa variable 1-32
IGKV1-33	IG	immunoglobulin kappa variable 1-33
IGKV1-35	IG	immunoglobulin kappa variable 1-35
IGKV1-37	IG	immunoglobulin kappa variable 1-37
IGKV1-39	IG	immunoglobulin kappa variable 1-39
IGKV1D-8	IG	immunoglobulin kappa variable 1D-8
IGKV1D-12	IG	immunoglobulin kappa variable 1D-12
IGKV1D-13	IG	immunoglobulin kappa variable 1D-13
IGKV1D-16	IG	immunoglobulin kappa variable 1D-16
IGKV1D-17	IG	immunoglobulin kappa variable 1D-17
IGKV1D-22	IG	immunoglobulin kappa variable 1D-22
IGKV1D-27	IG	immunoglobulin kappa variable 1D-27
IGKV1D-32	IG	immunoglobulin kappa variable 1D-32
IGKV1D-33	IG	immunoglobulin kappa variable 1D-33
IGKV1D-35	IG	immunoglobulin kappa variable 1D-35
IGKV1D-37	IG	immunoglobulin kappa variable 1D-37
IGKV1D-39	IG	immunoglobulin kappa variable 1D-39
IGKV1D-42	IG	immunoglobulin kappa variable 1D-42
IGKV1D-43	IG	immunoglobulin kappa variable 1D-43
IGKV1OR-1	IG	immunoglobulin kappa variable 1/OR-1
IGKV1OR-2	IG	immunoglobulin kappa variable 1/OR-2
IGKV1OR-3	IG	immunoglobulin kappa variable 1/OR-3
IGKV1OR-4	IG	immunoglobulin kappa variable 1/OR-4
IGKV1OR1-1	IG	immunoglobulin kappa variable 1/OR1-1
IGKV1OR2-0	IG	immunoglobulin kappa variable 1/OR2-0
IGKV1OR2-3	IG	immunoglobulin kappa variable 1/OR2-3
IGKV1OR2-6	IG	immunoglobulin kappa variable 1/OR2-6
IGKV1OR2-9	IG	immunoglobulin kappa variable 1/OR2-9
IGKV1OR2-11	IG	immunoglobulin kappa variable 1/OR2-11
IGKV1OR2-108	IG	immunoglobulin kappa variable 1/OR2-108
IGKV1OR15-118	IG	immunoglobulin kappa variable 1/OR15-118
IGKV1OR22-1	IG	immunoglobulin kappa variable 1/OR22-1
IGKV1OR22-5	IG	immunoglobulin kappa variable 1/OR22-5
IGKV2-4	IG	immunoglobulin kappa variable 2-4
IGKV2-10	IG	immunoglobulin kappa variable 2-10
IGKV2-14	IG	immunoglobulin kappa variable 2-14
IGKV2-18	IG	immunoglobulin kappa variable 2-18
IGKV2-19	IG	immunoglobulin kappa variable 2-19
IGKV2-23	IG	immunoglobulin kappa variable 2-23
IGKV2-24	IG	immunoglobulin kappa variable 2-24
IGKV2-26	IG	immunoglobulin kappa variable 2-26
IGKV2-28	IG	immunoglobulin kappa variable 2-28
IGKV2-29	IG	immunoglobulin kappa variable 2-29
IGKV2-30	IG	immunoglobulin kappa variable 2-30
IGKV2-36	IG	immunoglobulin kappa variable 2-36
IGKV2-38	IG	immunoglobulin kappa variable 2-38
IGKV2-40	IG	immunoglobulin kappa variable 2-40
IGKV2D-10	IG	immunoglobulin kappa variable 2D-10
IGKV2D-14	IG	immunoglobulin kappa variable 2D-14
IGKV2D-18	IG	immunoglobulin kappa variable 2D-18
IGKV2D-19	IG	immunoglobulin kappa variable 2D-19
IGKV2D-23	IG	immunoglobulin kappa variable 2D-23
IGKV2D-24	IG	immunoglobulin kappa variable 2D-24
IGKV2D-26	IG	immunoglobulin kappa variable 2D-26
IGKV2D-28	IG	immunoglobulin kappa variable 2D-28
IGKV2D-29	IG	immunoglobulin kappa variable 2D-29
IGKV2D-30	IG	immunoglobulin kappa variable 2D-30
IGKV2D-36	IG	immunoglobulin kappa variable 2D-36
IGKV2D-38	IG	immunoglobulin kappa variable 2D-38
IGKV2D-40	IG	immunoglobulin kappa variable 2D-40
IGKV2OR2-1	IG	immunoglobulin kappa variable 2/OR2-1
IGKV2OR2-2	IG	immunoglobulin kappa variable 2/OR2-2
IGKV2OR2-4	IG	immunoglobulin kappa variable 2/OR2-4
IGKV2OR2-7	IG	immunoglobulin kappa variable 2/OR2-7
IGKV2OR2-8	IG	immunoglobulin kappa variable 2/OR2-8
IGKV2OR2-10	IG	immunoglobulin kappa variable 2/OR2-10
IGKV2OR22-3	IG	immunoglobulin kappa variable 2/OR22-3
IGKV2OR22-4	IG	immunoglobulin kappa variable 2/OR22-4
IGKV3-7	IG	immunoglobulin kappa variable 3-7
IGKV3-11	IG	immunoglobulin kappa variable 3-11
IGKV3-15	IG	immunoglobulin kappa variable 3-15
IGKV3-20	IG	immunoglobulin kappa variable 3-20
IGKV3-25	IG	immunoglobulin kappa variable 3-25
IGKV3-31	IG	immunoglobulin kappa variable 3-31
IGKV3-34	IG	immunoglobulin kappa variable 3-34
IGKV3D-7	IG	immunoglobulin kappa variable 3D-7
IGKV3D-11	IG	immunoglobulin kappa variable 3D-11
IGKV3D-15	IG	immunoglobulin kappa variable 3D-15
IGKV3D-20	IG	immunoglobulin kappa variable 3D-20
IGKV3D-25	IG	immunoglobulin kappa variable 3D-25
IGKV3D-31	IG	immunoglobulin kappa variable 3D-31
IGKV3D-34	IG	immunoglobulin kappa variable 3D-34
IGKV3OR2-5	IG	immunoglobulin kappa variable 3/OR2-5
IGKV3OR2-268	IG	immunoglobulin kappa variable 3/OR2-268
IGKV3OR22-2	IG	immunoglobulin kappa variable 3/OR22-2
IGKV4-1	IG	immunoglobulin kappa variable 4-1
IGKV5-2	IG	immunoglobulin kappa variable 5-2
IGKV6-21	IG	immunoglobulin kappa variable 6-21
IGKV6D-21	IG	immunoglobulin kappa variable 6D-21
IGKV6D-41	IG	immunoglobulin kappa variable 6D-41
IGKV7-3	IG	immunoglobulin kappa variable 7-3
IGKV@	IG	immunoglobulin kappa variable group
IGKVOR2@	IG	Immunoglobulin kappa variable orphans on chromosome 2
IGL@	IG	immunoglobulin lambda locus
IGLC1	IG	immunoglobulin lambda constant 1 (Mcg marker)
IGLC2	IG	immunoglobulin lambda constant 2 (Kern-Oz- marker)
IGLC3	IG	immunoglobulin lambda constant 3 (Kern-Oz+ marker)
IGLC4	IG	immunoglobulin lambda constant 4
IGLC5	IG	immunoglobulin lambda constant 5
IGLC6	IG	immunoglobulin lambda constant 6 (Kern+Oz- marker)
IGLC7	IG	immunoglobulin lambda constant 7
IGLC@	IG	immunoglobulin lambda constant group
IGLCOR22-1	IG	immunoglobulin lambda constant/OR22-1
IGLCOR22-2	IG	immunoglobulin lambda constant/OR22-2
IGLJ1	IG	immunoglobulin lambda joining 1
IGLJ2	IG	immunoglobulin lambda joining 2
IGLJ3	IG	immunoglobulin lambda joining 3
IGLJ4	IG	immunoglobulin lambda joining 4
IGLJ5	IG	immunoglobulin lambda joining 5
IGLJ6	IG	immunoglobulin lambda joining 6
IGLJ7	IG	immunoglobulin lambda joining 7
IGLJ@	IG	immunoglobulin lambda joining group
IGLL2	IG	immunoglobulin lambda-like polypeptide 2
IGLL3	IG	immunoglobulin lambda-like polypeptide 3
IGLV1-36	IG	immunoglobulin lambda variable 1-36
IGLV1-40	IG	immunoglobulin lambda variable 1-40
IGLV1-41	IG	immunoglobulin lambda variable 1-41
IGLV1-44	IG	immunoglobulin lambda variable 1-44
IGLV1-47	IG	immunoglobulin lambda variable 1-47
IGLV1-50	IG	immunoglobulin lambda variable 1-50
IGLV1-51	IG	immunoglobulin lambda variable 1-51
IGLV1-62	IG	immunoglobulin lambda variable 1-62
IGLV2-5	IG	immunoglobulin lambda variable 2-5
IGLV2-8	IG	immunoglobulin lambda variable 2-8
IGLV2-11	IG	immunoglobulin lambda variable 2-11
IGLV2-14	IG	immunoglobulin lambda variable 2-14
IGLV2-18	IG	immunoglobulin lambda variable 2-18
IGLV2-23	IG	immunoglobulin lambda variable 2-23
IGLV2-28	IG	immunoglobulin lambda variable 2-28
IGLV2-33	IG	immunoglobulin lambda variable 2-33
IGLV2-34	IG	immunoglobulin lambda variable 2-34
IGLV3-1	IG	immunoglobulin lambda variable 3-1
IGLV3-2	IG	immunoglobulin lambda variable 3-2
IGLV3-4	IG	immunoglobulin lambda variable 3-4
IGLV3-6	IG	immunoglobulin lambda variable 3-6
IGLV3-7	IG	immunoglobulin lambda variable 3-7
IGLV3-9	IG	immunoglobulin lambda variable 3-9
IGLV3-10	IG	immunoglobulin lambda variable 3-10
IGLV3-12	IG	immunoglobulin lambda variable 3-12
IGLV3-13	IG	immunoglobulin lambda variable 3-13
IGLV3-15	IG	immunoglobulin lambda variable 3-15
IGLV3-16	IG	immunoglobulin lambda variable 3-16
IGLV3-17	IG	immunoglobulin lambda variable 3-17
IGLV3-19	IG	immunoglobulin lambda variable 3-19
IGLV3-21	IG	immunoglobulin lambda variable 3-21
IGLV3-22	IG	immunoglobulin lambda variable 3-22
IGLV3-24	IG	immunoglobulin lambda variable 3-24
IGLV3-25	IG	immunoglobulin lambda variable 3-25
IGLV3-26	IG	immunoglobulin lambda variable 3-26
IGLV3-27	IG	immunoglobulin lambda variable 3-27
IGLV3-29	IG	immunoglobulin lambda variable 3-29
IGLV3-30	IG	immunoglobulin lambda variable 3-30
IGLV3-31	IG	immunoglobulin lambda variable 3-31
IGLV3-32	IG	immunoglobulin lambda variable 3-32
IGLV4-3	IG	immunoglobulin lambda variable 4-3
IGLV4-60	IG	immunoglobulin lambda variable 4-60
IGLV4-69	IG	immunoglobulin lambda variable 4-69
IGLV5-37	IG	immunoglobulin lambda variable 5-37
IGLV5-39	IG	immunoglobulin lambda variable 5-39
IGLV5-45	IG	immunoglobulin lambda variable 5-45
IGLV5-48	IG	immunoglobulin lambda variable 5-48
IGLV5-52	IG	immunoglobulin lambda variable 5-52
IGLV6-57	IG	immunoglobulin lambda variable 6-57
IGLV7-35	IG	immunoglobulin lambda variable 7-35
IGLV7-43	IG	immunoglobulin lambda variable 7-43
IGLV7-46	IG	immunoglobulin lambda variable 7-46
IGLV8-61	IG	immunoglobulin lambda variable 8-61
IGLV8OR8-1	IG	immunoglobulin lambda variable 8/OR8-1
IGLV9-49	IG	immunoglobulin lambda variable 9-49
IGLV10-54	IG	immunoglobulin lambda variable 10-54
IGLV10-67	IG	immunoglobulin lambda variable 10-67
IGLV11-55	IG	immunoglobulin lambda variable 11-55
IGLV@	IG	immunoglobulin lambda variable group
IGLVI-20	IG	immunoglobulin lambda variable (I)-20
IGLVI-38	IG	immunoglobulin lambda variable (I)-38
IGLVI-42	IG	immunoglobulin lambda variable (I)-42
